,tokenized,detoken
526,"['어플', '자동로그인', '유', '지하']",어플 자동로그인 유 지하
527,"['결제', '여러번', '시도', '안되']",결제 여러번 시도 안되
528,"['업데이트', '최악']",업데이트 최악
529,"['인증번호', '안되', '옴']",인증번호 안되 옴
530,"['자동로그인', '로', '로그인', '해', '자동로그인', '안되', '기능']",자동로그인 로 로그인 해 자동로그인 안되 기능
531,"['회원', '회원가입', '고하', '인증번호', '안되']",회원 회원가입 고하 인증번호 안되
532,"['불편', '단말', '장치', '해', '결제']",불편 단말 장치 해 결제
533,"['출근길', '에이', '용해', '까치산역', '반납', '가야', '보', '위치', '보', '멀리', '래서', '회원가입', '안함', '까치산역', '설치', '회원가입', '읍니']",출근길 에이 용해 까치산역 반납 가야 보 위치 보 멀리 래서 회원가입 안함 까치산역 설치 회원가입 읍니
534,"['로그인', '유지', '체크', '어플', '사용', '로그아웃', '불편']",로그인 유지 체크 어플 사용 로그아웃 불편
535,"['무슨', '거지', '천원', '고가', '어플', '복잡', '갑자기', '반납', '고하', '다시', '결제', '려니', '사용', '중이', '세금', '좀마', '돈', '아까워']",무슨 거지 천원 고가 어플 복잡 갑자기 반납 고하 다시 결제 려니 사용 중이 세금 좀마 돈 아까워
536,"['오류', '때문', '자꾸', '사용', '오류', '정기권', '구매', '하루', '전', '일일권', '오류', '사용', '오류', '수정', '부탁']",오류 때문 자꾸 사용 오류 정기권 구매 하루 전 일일권 오류 사용 오류 수정 부탁
537,"['로그인', '기록', '저장', '기능', '확인', '및', '개선', '요망']",로그인 기록 저장 기능 확인 및 개선 요망
538,"['어플', '전반적', '사용', '불편', '어플', '실행', '첫', '지도', '시청역', '중심', '표시', '주변', '지도', '시간', '오래', '심지어', '주변', '지역', '시청역', '경우', '많습니다', '어플', '실행', '바로', '주변', '역표시', '설정', '지도', '오른쪽', '아이콘', '위치', '삼성', '엣지', '휴대폰', '사용자', '상당', '불편', '엣지', '그런지', '위치', '주시', '아이콘', '사이즈', '부탁']",어플 전반적 사용 불편 어플 실행 첫 지도 시청역 중심 표시 주변 지도 시간 오래 심지어 주변 지역 시청역 경우 많습니다 어플 실행 바로 주변 역표시 설정 지도 오른쪽 아이콘 위치 삼성 엣지 휴대폰 사용자 상당 불편 엣지 그런지 위치 주시 아이콘 사이즈 부탁
539,"['인증번호', '기', '다리', '절대', '유용', '어플', '차라리', '인증번호', '시간', '기', '다리', '편하게', '지하철', '수고']",인증번호 기 다리 절대 유용 어플 차라리 인증번호 시간 기 다리 편하게 지하철 수고
540,"['최악', '의', '어플', '따릉이', '자전거', '거치대', '위치', '많고', '찾기', '힘들다', '야간', '과', '거치대', '자전거', '무', '비어', '있을', '네비게이션', '기능', '꼭', '필요', '없다', '자전거', '렌트', '난', '어플', '메인', '페이지', '잔', '시간', '먼저', '보이', '반납', '거치대', '위치', '빽', '페이지', '일', '뿐', '넥스트', '뷰', '페이지', '창', '도', '오류', '많고', '실행', '안된다']",최악 의 어플 따릉이 자전거 거치대 위치 많고 찾기 힘들다 야간 과 거치대 자전거 무 비어 있을 네비게이션 기능 꼭 필요 없다 자전거 렌트 난 어플 메인 페이지 잔 시간 먼저 보이 반납 거치대 위치 빽 페이지 일 뿐 넥스트 뷰 페이지 창 도 오류 많고 실행 안된다
541,"['따릉이', '좋은데', '어플', '노답', '업체', '수주', '개발', '로', '비력', '뛰어난', '가보']",따릉이 좋은데 어플 노답 업체 수주 개발 로 비력 뛰어난 가보
