,tokenized,detoken
0,"['누르기', '어플', '계속', '로그아웃', '네이버', '로그인', '어차피', '여기', '회원가입', '사용', '가능', '계속', '로그인', '려면', '회원가입', '비밀번호', '새로', '버튼', '로그아웃', '사태', '방지', '네이버', '카카오톡', '로그인', '도', '이해', '안되']",누르기 어플 계속 로그아웃 네이버 로그인 어차피 여기 회원가입 사용 가능 계속 로그인 려면 회원가입 비밀번호 새로 버튼 로그아웃 사태 방지 네이버 카카오톡 로그인 도 이해 안되
1,"['로그인', '화면', '자동', '로그인', '체크', '재로그인', '이상', '비밀번호', '저장', '자동', '로그인', '안되', '로그인', '네이버', '자동로그인', '안되', '따릉이', '네이버', '재로그인', '함', '결제', '핸드폰', '결제', '안되', '수정']",로그인 화면 자동 로그인 체크 재로그인 이상 비밀번호 저장 자동 로그인 안되 로그인 네이버 자동로그인 안되 따릉이 네이버 재로그인 함 결제 핸드폰 결제 안되 수정
2,"['좋아요', '정말', '유용', '사용', '있음', '많은', '자전거', '어디', '사라', '반납', '장소', '항상', '있', '밤', '많은', '비어', '있음', '관리', '좀더', '같아요', '이상']",좋아요 정말 유용 사용 있음 많은 자전거 어디 사라 반납 장소 항상 있 밤 많은 비어 있음 관리 좀더 같아요 이상
3,"['어플', '외주', '주시', '따릉이', '단점', '로그인', '불편', '매번', '인증', '카카오톡', '함', '로그인', '설정', '유지', '지도', '있는거', '임', '결제', '불편', '삼성', '페이', '교통카드', '결제', '추가', '어플', '전반적', '구성', '심', '플하', '직관', '이지', '설명', '제대로', '안되', '어있', '검색', '시스템', '구림', '많은', '이용자', '연결', '어려워', '어려워', '어디', '설명', '똑바로', '안되', '어있음', '실제', '있는', '자전거', '어플', '경우', '함']",어플 외주 주시 따릉이 단점 로그인 불편 매번 인증 카카오톡 함 로그인 설정 유지 지도 있는거 임 결제 불편 삼성 페이 교통카드 결제 추가 어플 전반적 구성 심 플하 직관 이지 설명 제대로 안되 어있 검색 시스템 구림 많은 이용자 연결 어려워 어려워 어디 설명 똑바로 안되 어있음 실제 있는 자전거 어플 경우 함
4,"['쓰시', '분', '혹시', '회원', '회원가입', '휴대폰', '인증번호', '오류', '있으시면', '와이파이', '데이터', '다시', '몇번', '그나', '이전', '시간', '부터', '시간', '지나', '탈', '있는거', '굉장히', '불편', '시스템', '보이']",쓰시 분 혹시 회원 회원가입 휴대폰 인증번호 오류 있으시면 와이파이 데이터 다시 몇번 그나 이전 시간 부터 시간 지나 탈 있는거 굉장히 불편 시스템 보이
5,"['어플', '쓰레기', '자체', '임', '입하', '열받']",어플 쓰레기 자체 임 입하 열받
6,"['서버', '오류']",서버 오류
7,"['선물', '안되']",선물 안되
8,"['제로페이', '설정', '할인', '이벤트', '걸얺', '결제', '방법', '시도', '지도', '분', '이상', '있었다', '고요', '노면', '제대로']",제로페이 설정 할인 이벤트 걸얺 결제 방법 시도 지도 분 이상 있었다 고요 노면 제대로
9,"['결제', '단계', '허구', '날', '무한', '그때', '로그인', '반복', '일', '척도', '공무원', '월급']",결제 단계 허구 날 무한 그때 로그인 반복 일 척도 공무원 월급
10,"['깝', '별', '좋다', '정책', '관리', '관리', '람사', '좋겠다', '없다', '관', '리하', '사람', '신병', '같다', '어플']",깝 별 좋다 정책 관리 관리 람사 좋겠다 없다 관 리하 사람 신병 같다 어플
11,['좋아요'],좋아요
12,"['아무', '리', '정기권', '결제', '버튼', '안눌려', '눌리', '척', '만하', '안넘', '어감', '일일권', '화면']",아무 리 정기권 결제 버튼 안눌려 눌리 척 만하 안넘 어감 일일권 화면
13,"['카카오톡', '로그인', '튕기', '현상', '제발', '수정']",카카오톡 로그인 튕기 현상 제발 수정
14,"['요즘', '어플', '편의', '성', '안전성', '모두', '이용', '있습니다', '다만', '오늘', '같은', '날', '서버', '대여', '불가능']",요즘 어플 편의 성 안전성 모두 이용 있습니다 다만 오늘 같은 날 서버 대여 불가능
15,"['공익', '위해', '좋은', '시스템', '생각', '카카오톡', '계정', '로그인', '자꾸', '리셋', '건가', '매번', '로그인', '새로', '있습니다']",공익 위해 좋은 시스템 생각 카카오톡 계정 로그인 자꾸 리셋 건가 매번 로그인 새로 있습니다
16,"['제발', '어플', '업데이트', '쓰기', '불편']",제발 어플 업데이트 쓰기 불편
17,"['따릉이', '최고', '사랑', '따릉이']",따릉이 최고 사랑 따릉이
18,"['어플', '개발자', '요즘', '같은', '시대', '대충', '고도', '사람', '님', '실력', '좋아서', '자전거', '이용', '려면', '없', '그런', '절대', '절대', '절대', '이정', '도면', '괜찮은', '아닌가', '쓰레기', '같은', '생각', '버', '리세', '로그인', '홈', '종료', '계속', '로그인', '화면', '가지', '실화', '입', '한번', '로그인', '저장', '안해', '놨다', '로그인', '한번', '자동', '저장', '놨다', '로그인', '화면', '가면', '다시', '홈', '화면', '홈', '화면', '뒤로가기', '종료', '스무살', '취미', '어플', '개발', '애']",어플 개발자 요즘 같은 시대 대충 고도 사람 님 실력 좋아서 자전거 이용 려면 없 그런 절대 절대 절대 이정 도면 괜찮은 아닌가 쓰레기 같은 생각 버 리세 로그인 홈 종료 계속 로그인 화면 가지 실화 입 한번 로그인 저장 안해 놨다 로그인 한번 자동 저장 놨다 로그인 화면 가면 다시 홈 화면 홈 화면 뒤로가기 종료 스무살 취미 어플 개발 애
19,"['로딩', '입니', '다만', '주구', '장창', '질']",로딩 입니 다만 주구 장창 질
20,"['따릉이', '서비스', '자체', '좋습니다', '다만', '어플', '술', '안좋습니다', '어플', '업데이트', '좋을거', '같습니다']",따릉이 서비스 자체 좋습니다 다만 어플 술 안좋습니다 어플 업데이트 좋을거 같습니다
21,"['장난', '다른사람', '안되', '또', '다른사람', '장난', '지금']",장난 다른사람 안되 또 다른사람 장난 지금
22,"['이용', '중인', '갯수', '오류', '있', '대여소', '남아', '있길래', '가보', '텅텅', '비어', '있고', '어플', '아직', '남아', '있다고', '다른', '곳도', '가보', '비어', '있고', '남아', '있다고', '표시', '오류']",이용 중인 갯수 오류 있 대여소 남아 있길래 가보 텅텅 비어 있고 어플 아직 남아 있다고 다른 곳도 가보 비어 있고 남아 있다고 표시 오류
23,"['누르기', '어플', '계속', '로그아웃', '네이버', '로그인', '어차피', '여기', '회원가입', '사용', '가능', '계속', '로그인', '려면', '회원가입', '비밀번호', '새로', '버튼', '로그아웃', '사태', '방지', '네이버', '카카오톡', '로그인', '도', '이해', '안되']",누르기 어플 계속 로그아웃 네이버 로그인 어차피 여기 회원가입 사용 가능 계속 로그인 려면 회원가입 비밀번호 새로 버튼 로그아웃 사태 방지 네이버 카카오톡 로그인 도 이해 안되
24,"['좋아요', '정말', '유용', '사용', '있음', '많은', '자전거', '어디', '사라', '반납', '장소', '항상', '있', '밤', '많은', '비어', '있음', '관리', '좀더', '같아요', '이상']",좋아요 정말 유용 사용 있음 많은 자전거 어디 사라 반납 장소 항상 있 밤 많은 비어 있음 관리 좀더 같아요 이상
25,"['자전거', '없음', '불만', '얘기', '자기', '답변', '편한것만', '답', '일주일', '대꾸', '없음', '어플', '후짐']",자전거 없음 불만 얘기 자기 답변 편한것만 답 일주일 대꾸 없음 어플 후짐
26,"['어플', '정말', '불편', '아이폰', '딜', '레이', '생기', '교통카드', '등록', '사용', '지하', '니요', '스', '크롤', '바', '다인', '가요', '다른', '알림', '창', '체크', '건너', '도록', '고요', '도중', '연장', '안되', '이유', '반납', '재', '대여', '이해']",어플 정말 불편 아이폰 딜 레이 생기 교통카드 등록 사용 지하 니요 스 크롤 바 다인 가요 다른 알림 창 체크 건너 도록 고요 도중 연장 안되 이유 반납 재 대여 이해
27,"['최악', '잠금장치', '지도', '못햇', '사용', '반납', '처럼', '전화', '하니', '시민', '잘못', '환불', '안된단다', '잘못']",최악 잠금장치 지도 못햇 사용 반납 처럼 전화 하니 시민 잘못 환불 안된단다 잘못
28,"['어플', '설치', '안되', '무슨', '문제', '있나여']",어플 설치 안되 무슨 문제 있나여
29,"['어플', '외주', '주시', '따릉이', '단점', '로그인', '불편', '매번', '인증', '카카오톡', '함', '로그인', '설정', '유지', '지도', '있는거', '임', '결제', '불편', '삼성', '페이', '교통카드', '결제', '추가', '어플', '전반적', '구성', '심', '플하', '직관', '이지', '설명', '제대로', '안되', '어있', '검색', '시스템', '구림', '많은', '이용자', '연결', '어려워', '어려워', '어디', '설명', '똑바로', '안되', '어있음', '실제', '있는', '자전거', '어플', '경우', '함']",어플 외주 주시 따릉이 단점 로그인 불편 매번 인증 카카오톡 함 로그인 설정 유지 지도 있는거 임 결제 불편 삼성 페이 교통카드 결제 추가 어플 전반적 구성 심 플하 직관 이지 설명 제대로 안되 어있 검색 시스템 구림 많은 이용자 연결 어려워 어려워 어디 설명 똑바로 안되 어있음 실제 있는 자전거 어플 경우 함
30,"['아주', '쓰레기']",아주 쓰레기
31,"['요새', '자전거', '관리', '진짜', '쓰레기', '대여', '체인', '핸들', '삐', '능력', '없으면']",요새 자전거 관리 진짜 쓰레기 대여 체인 핸들 삐 능력 없으면
32,"['정기권', '카카오톡', '페이', '결', '결제', '결제', '버튼', '버튼', '색', '아무', '반응', '없네요', '다른', '옵션', '마찬가지', '결제', '안되']",정기권 카카오톡 페이 결 결제 결제 버튼 버튼 색 아무 반응 없네요 다른 옵션 마찬가지 결제 안되
33,"['로그인', '수정', '자동', '수인', '안되', '로그인', '결제', '오류', '오류', '삼박자', '서울', '자전거', '같은', '소', '리하', '업데이트']",로그인 수정 자동 수인 안되 로그인 결제 오류 오류 삼박자 서울 자전거 같은 소 리하 업데이트
34,"['전국', '있는줄', '서울시', '있는거였나요', '아쉽다', '서울', '이런', '서비스', '내주', '셔', '환경오염', '운동', '자전거', '이용', '장려', '정책', '좋네요', '평소', '자전거', '타고', '좋', '아해', '이런거', '내주', '아이디어', '좋은', '같아요']",전국 있는줄 서울시 있는거였나요 아쉽다 서울 이런 서비스 내주 셔 환경오염 운동 자전거 이용 장려 정책 좋네요 평소 자전거 타고 좋 아해 이런거 내주 아이디어 좋은 같아요
35,"['로그인', '안되', '나', '매번', '로그인', '짜증', '남']",로그인 안되 나 매번 로그인 짜증 남
36,"['자신', '없으면', '전면', '개방', '공식', '어플', '없', '애자', '제발']",자신 없으면 전면 개방 공식 어플 없 애자 제발
37,"['어디', '이동', '편', '리하', '사용', '있습니다', '단지', '거치대', '있는', '자전거', '절반', '고장']",어디 이동 편 리하 사용 있습니다 단지 거치대 있는 자전거 절반 고장
38,"['따릉이', '이용', '어플', '버전', '체크', '오류', '수십', '무한', '반복', '뜸']",따릉이 이용 어플 버전 체크 오류 수십 무한 반복 뜸
39,"['방금', '정기권', '결제', '안된다네']",방금 정기권 결제 안된다네
40,"['뫤', '어플', '업데이트']",뫤 어플 업데이트
41,"['어플', '버전', '체크', '먼', '소리', '사용', '은하', '업데이트', '야할꺼아냐']",어플 버전 체크 먼 소리 사용 은하 업데이트 야할꺼아냐
42,"['어플', '계속', '오류', '서안']",어플 계속 오류 서안
43,['굿'],굿
44,"['로그인', '화면', '자동', '로그인', '체크', '재로그인', '이상', '비밀번호', '저장', '자동', '로그인', '안되', '로그인', '네이버', '자동로그인', '안되', '따릉이', '네이버', '재로그인', '함', '결제', '핸드폰', '결제', '안되', '수정']",로그인 화면 자동 로그인 체크 재로그인 이상 비밀번호 저장 자동 로그인 안되 로그인 네이버 자동로그인 안되 따릉이 네이버 재로그인 함 결제 핸드폰 결제 안되 수정
45,"['정기권', '구매', '이용자', '비밀번호', '풀', '잠금장치', '해', '결제', '안빠', '지네', '무슨', '일일', '잠금장치', '잠금장치', '하루', '수십', '재끼', '장난']",정기권 구매 이용자 비밀번호 풀 잠금장치 해 결제 안빠 지네 무슨 일일 잠금장치 잠금장치 하루 수십 재끼 장난
46,"['돈', '돈대', '항상', '지자체', '관공서', '어플', '항상', '허접한', '수준', '하청', '인간', '돈', '안되']",돈 돈대 항상 지자체 관공서 어플 항상 허접한 수준 하청 인간 돈 안되
47,"['이용', '수록', '화가', '어플', '시스템', '대한', '이해도', '최악', '네이버', '회원', '회원가입', '다시', '로그인', '려니', '있는', '전화번호', '라면', '로그인', '안되', '시간', '길', '낭비', '어플', '업체', '선정', '비리', '있는지', '정말', '궁금', '세금', '아무', '나', '펑펑']",이용 수록 화가 어플 시스템 대한 이해도 최악 네이버 회원 회원가입 다시 로그인 려니 있는 전화번호 라면 로그인 안되 시간 길 낭비 어플 업체 선정 비리 있는지 정말 궁금 세금 아무 나 펑펑
48,"['지도', '이상하', '선물', '어플']",지도 이상하 선물 어플
49,"['병', '어플', '신어']",병 어플 신어
50,"['갤럭시', '지도', '확인', '부탁']",갤럭시 지도 확인 부탁
51,"['일단', '별로', '많음', '카카오톡', '자동로그인', '안되', '대여소', '번호', '혼자', '대여소', '이름', '자동', '입력', '다음', '안나', '옴', '그냥', '맛']",일단 별로 많음 카카오톡 자동로그인 안되 대여소 번호 혼자 대여소 이름 자동 입력 다음 안나 옴 그냥 맛
52,"['시간', '이용권', '환불', '시간', '이용권', '결제', '거치대', 'QR', '코드', '스캔', '계속', '오류', '있습니다', '시간', '이용권', '아직', '환불', '서인', '아무', '즉시', '이용', '안되', '어감']",시간 이용권 환불 시간 이용권 결제 거치대 QR 코드 스캔 계속 오류 있습니다 시간 이용권 아직 환불 서인 아무 즉시 이용 안되 어감
53,"['정기권', '사용', '있', '기', '본적', '기능', '서울', '이런', '서비스', '있', '좋아요', '다만', '카드', '정보', '저장', '이나', '페이', '코', '어플', '연동', '결제', '편리', '성', '높', '아지', '좋겠', '매번', '카드', '정보', '입력', '불편', '고장', '거나', '상태', '안좋은', '자전거', '어플', '신고', '가능', '좋을것', '같아요']",정기권 사용 있 기 본적 기능 서울 이런 서비스 있 좋아요 다만 카드 정보 저장 이나 페이 코 어플 연동 결제 편리 성 높 아지 좋겠 매번 카드 정보 입력 불편 고장 거나 상태 안좋은 자전거 어플 신고 가능 좋을것 같아요
54,"['중학생', '공모전', '결제', '오류', '부터', 'UI', '로그인', '부터', '수준', '국가', '어플']",중학생 공모전 결제 오류 부터 UI 로그인 부터 수준 국가 어플
55,"['진짜', '로그인', '안되', '계속', '안되', '비밀번호', '은줄', '알', '임시', '비밀', '벙호', '말', '도안', '말', '안되', '네', '화난', '개선', '부턱']",진짜 로그인 안되 계속 안되 비밀번호 은줄 알 임시 비밀 벙호 말 도안 말 안되 네 화난 개선 부턱
56,"['혹시', '정기권', '구매', '다시', '생각', '따릉이', '이제', '수명', '거치대', '자전거', '십수', '있', '어도', '고장', '체인', '빠', '지고', '버튼', '안눌리', '거나', '대여', '과정', '잠금장치', '대여', '가능', '건', '극히', '일부', '불과', '대해', '어플', '피드백', '아무', '개선', '없습니다', '개선', '필요', '그런', '움직임', '전혀', '보이지', '불과', '달', '전만', '최근', '자전거', '상태', '급격', '사용', '불가능', '정', '도입']",혹시 정기권 구매 다시 생각 따릉이 이제 수명 거치대 자전거 십수 있 어도 고장 체인 빠 지고 버튼 안눌리 거나 대여 과정 잠금장치 대여 가능 건 극히 일부 불과 대해 어플 피드백 아무 개선 없습니다 개선 필요 그런 움직임 전혀 보이지 불과 달 전만 최근 자전거 상태 급격 사용 불가능 정 도입
57,"['따릉이', '좋은데', '카카오톡', '자동로그인', '이안', '것좀', '제발', '매일', '매일', '로그인', '시러요', '메일', '귀찮습니다']",따릉이 좋은데 카카오톡 자동로그인 이안 것좀 제발 매일 매일 로그인 시러요 메일 귀찮습니다
58,"['어플', '정말', '구림', '결제', '안되', '속']",어플 정말 구림 결제 안되 속
59,"['결제', '안된다구요', '무슨', '이용권', '구매', '안정화', '입', '대체', '결제', '자체', '아예', '안됩니다', '카카오톡', '페이', '신용', '체크카드', '결제']",결제 안된다구요 무슨 이용권 구매 안정화 입 대체 결제 자체 아예 안됩니다 카카오톡 페이 신용 체크카드 결제
60,"['자전거', '도로', '마땅치', '아주', '이용', '있습니다']",자전거 도로 마땅치 아주 이용 있습니다
61,"['나쁘지', '개인', '별기', '록', '같은거', '좋겠', '얼마나', '달기', '록', '년', '기록', '등등', '스트', '라바', '연동', '괜찮고', '거기', '기대', '안해']",나쁘지 개인 별기 록 같은거 좋겠 얼마나 달기 록 년 기록 등등 스트 라바 연동 괜찮고 거기 기대 안해
62,"['교통', '용', '어플', '네이버', '로그인', '유지', '도안', '새로', '로그인', '로그인', '안되', '위치', '매번', '전화번호', '인증', '어플', '느려', '자전거', '남', '기기', '일쑤', '로그인', '유지', '한번', '클릭', '영원', '핸드폰', '뻔', '핸드폰', '산지', '달도', '안된건데', '휴대폰', '때문', '아닌듯', '어플', '진짜', '말', '도안', '구립니다', '방금', '어플', '오류', '때매', '출근', '뻔', '지하철', '지각', '삘', '무슨', '짓', '인지']",교통 용 어플 네이버 로그인 유지 도안 새로 로그인 로그인 안되 위치 매번 전화번호 인증 어플 느려 자전거 남 기기 일쑤 로그인 유지 한번 클릭 영원 핸드폰 뻔 핸드폰 산지 달도 안된건데 휴대폰 때문 아닌듯 어플 진짜 말 도안 구립니다 방금 어플 오류 때매 출근 뻔 지하철 지각 삘 무슨 짓 인지
63,"['진짜', '새벽', '사용', '쌍욕', '만드', '려면', '제대로', '오류', '개심', '반납', '안되', '그냥', '아주', '난리', '난리']",진짜 새벽 사용 쌍욕 만드 려면 제대로 오류 개심 반납 안되 그냥 아주 난리 난리
64,"['오늘', '첫', '사용', '사용', '있어', '좋습니다']",오늘 첫 사용 사용 있어 좋습니다
65,"['이용권', '결제', '결', '제창', '안넘', '이용', '있']",이용권 결제 결 제창 안넘 이용 있
66,"['대체', '이런', '이용', '절차', '누구', '머리', '나', '온건', '가요', '결제', '어렵고', '정기권', '사서', '시간', '이용', '또', '비밀번호', '입력', '무엇', '제발', '경기도', '배', '우세']",대체 이런 이용 절차 누구 머리 나 온건 가요 결제 어렵고 정기권 사서 시간 이용 또 비밀번호 입력 무엇 제발 경기도 배 우세
67,"['비', '회원', '진행', '아홉', '번은', '결제', '오류', '자전거', '기본', '자전거', '무조건', '어플', '도록', '사용', '편의', '무시', '처사', '따릉이', '생기', '기', '전', '기존', '서울시', '공유', '자전거', '편함']",비 회원 진행 아홉 번은 결제 오류 자전거 기본 자전거 무조건 어플 도록 사용 편의 무시 처사 따릉이 생기 기 전 기존 서울시 공유 자전거 편함
68,"['진짜', '불편', '어플', '신경']",진짜 불편 어플 신경
69,"['하하', '죽']",하하 죽
70,"['오늘', '처음', '사용', '직관', '어플', '업데이트', '좋겠습니다', '대적', '업데이트', '자전거', '좋습니다', '정말', '서울', '자랑', '좋겠습니다']",오늘 처음 사용 직관 어플 업데이트 좋겠습니다 대적 업데이트 자전거 좋습니다 정말 서울 자랑 좋겠습니다
71,"['처음', '회원', '회원가입', '본인', '인증', '문자', '안보', '한참', '있', '회원가입', '카카오톡', '연동', '로그인', '유지', '기능', '안되', '카카오톡', '인증', '로그인', '매번', '다시', '불편']",처음 회원 회원가입 본인 인증 문자 안보 한참 있 회원가입 카카오톡 연동 로그인 유지 기능 안되 카카오톡 인증 로그인 매번 다시 불편
72,"['따릉이', '시스템', '좋은데', '어플', '카카오톡', '페이', '결제', '오류', '로그인', '저장', '해', '다시', '로그인', '몇번', '반복', '짜증', '남']",따릉이 시스템 좋은데 어플 카카오톡 페이 결제 오류 로그인 저장 해 다시 로그인 몇번 반복 짜증 남
73,"['사용', '불변']",사용 불변
74,['편합니다'],편합니다
75,"['로그인', '안되', '니', '화면', '깜빡', '거리', '누가', '관', '리안', '하니']",로그인 안되 니 화면 깜빡 거리 누가 관 리안 하니
76,"['솔직', '어플', '없음', '그냥', '브로커', '같은', '존', '재거', '따릉이', '위']",솔직 어플 없음 그냥 브로커 같은 존 재거 따릉이 위
77,['야발련'],야발련
78,['최고다'],최고다
79,['굿'],굿
80,"['결제', '안되', '네트워크', '연결', '안된단', '소리']",결제 안되 네트워크 연결 안된단 소리
81,"['자꾸', '로그아웃', '불편', '어떻게']",자꾸 로그아웃 불편 어떻게
82,"['이런', '품질', '어플', '만들기', '품질', '입니다']",이런 품질 어플 만들기 품질 입니다
83,"['급하게', '사용', '야하는데', '자꾸']",급하게 사용 야하는데 자꾸
84,"['따릉이', '어플', '실행', '이안', '삭제', '다시', '젠', '다운로드', '도안']",따릉이 어플 실행 이안 삭제 다시 젠 다운로드 도안
85,"['어플', '완성', '쓰레기']",어플 완성 쓰레기
86,['어플'],어플
87,"['따릉이', '좋아요', '늘', '이용', '입니다']",따릉이 좋아요 늘 이용 입니다
88,"['어플', '제작', '다시']",어플 제작 다시
89,"['어플', '클릭', '안장', '수평', '많아요', '의자', '높이', '높았으면', '좋겠']",어플 클릭 안장 수평 많아요 의자 높이 높았으면 좋겠
90,"['비치', '이용', '안내', '어플', '설치', '회원가입', '로그인', '상단', '이용', '클릭', '이용', '버튼', '어디', '안보']",비치 이용 안내 어플 설치 회원가입 로그인 상단 이용 클릭 이용 버튼 어디 안보
91,"['진짜', '짜증', '비밀번호', '찾기', '인증번호', '작성', '해', '당사항', '없다고', '오류', '같아서', '처음', '부터', '다시', '안되', '무한', '반복', '어무', '짜증', '진짜', '개선']",진짜 짜증 비밀번호 찾기 인증번호 작성 해 당사항 없다고 오류 같아서 처음 부터 다시 안되 무한 반복 어무 짜증 진짜 개선
92,"['편리', '따릉이', '시스템', '형편', '없는', '어플', '오류', '결제', '안되', '위치', '정보', '이상', '어플']",편리 따릉이 시스템 형편 없는 어플 오류 결제 안되 위치 정보 이상 어플
93,"['로그인', '유지', '체크', '계속', '어플', '사용', '로그인', '하니', '번거롭네요', '자전거', '비', '기능', '있으면', '좋을거', '같아요']",로그인 유지 체크 계속 어플 사용 로그인 하니 번거롭네요 자전거 비 기능 있으면 좋을거 같아요
94,"['실행', '안되']",실행 안되
95,"['무한', '로딩']",무한 로딩
96,"['어플', '완전', '엉망', '다시', '로그인', '휴대폰', '여기', '서도']",어플 완전 엉망 다시 로그인 휴대폰 여기 서도
97,"['자전거', '문제', '생', '길경', '우단', '순', '접수', '기능', '좋을거', '갇']",자전거 문제 생 길경 우단 순 접수 기능 좋을거 갇
98,"['서버', '관리', '엉망', '픽하', '어플', '사용', '픽하', '대여', '일본어', '비밀번호', '대여', '관리', '엉망', '회합', '결론', '돈', '돈대', '자전거', '삼']",서버 관리 엉망 픽하 어플 사용 픽하 대여 일본어 비밀번호 대여 관리 엉망 회합 결론 돈 돈대 자전거 삼
99,"['로그인', '자동로그인', '있는']",로그인 자동로그인 있는
100,"['사업', '비', '얼마나', '책정', '도', '수준', '미달', '오류', '많고', '안되']",사업 비 얼마나 책정 도 수준 미달 오류 많고 안되
101,"['로그인', '유지', '안되', '진짜', '최악', '로그인', '오류로', '사용', '진짜', '별', '개도', '아까', '움']",로그인 유지 안되 진짜 최악 로그인 오류로 사용 진짜 별 개도 아까 움
102,"['개발자', '낙하산', '듯']",개발자 낙하산 듯
103,"['불편', '오류', '많음', '결제', '인증번호', '다음', '안넘', '어갈때', '있는데', '첨부', '터', '다시', '함']",불편 오류 많음 결제 인증번호 다음 안넘 어갈때 있는데 첨부 터 다시 함
104,"['오류', '고치']",오류 고치
105,"['진짜', '우리나라', '공무원', '조직', '현실', '개발자', '무슨', '생각']",진짜 우리나라 공무원 조직 현실 개발자 무슨 생각
106,"['휴대폰', '따릉이', '타', '버전', '체크', '오류', '확인', '달', '오늘', '지하철', '그동안', '사용', '좋았', '별', '화이팅']",휴대폰 따릉이 타 버전 체크 오류 확인 달 오늘 지하철 그동안 사용 좋았 별 화이팅
107,"['어플', '아직', '정신', '산만', '자잘한', '오류', '많고', '이용', '입니다']",어플 아직 정신 산만 자잘한 오류 많고 이용 입니다
108,"['개도', '아깝다']",개도 아깝다
109,['편함'],편함
110,"['오후', '업무', '상담', '결', '클라스', '누가', '악의', '고장', '접수', '연결', '대로', '결해', '자전거', '대도', '대여', '자전거', '대여', '떻는데', '명', '동시', '대여', '대여', '안되', '방금', '반납', '대여', '고정', '거치대', '연결', '일주일', '동안', '방치', '간기', '려', '문제해결', '교통카드', '안되', '지하철', '버스', '집']",오후 업무 상담 결 클라스 누가 악의 고장 접수 연결 대로 결해 자전거 대도 대여 자전거 대여 떻는데 명 동시 대여 대여 안되 방금 반납 대여 고정 거치대 연결 일주일 동안 방치 간기 려 문제해결 교통카드 안되 지하철 버스 집
111,"['따릉이', '좋아요', '로그인', '유지', '좋겠', '로', '유지', '체크', '어플', '다시', '로그인', '야하네요', '자동', '로그인', '기능', '추가', '실', '계획', '없나요', '따릉이', '정류', '소가', '많', '아지', '자전거', '도로', '활성화', '좋겠']",따릉이 좋아요 로그인 유지 좋겠 로 유지 체크 어플 다시 로그인 야하네요 자동 로그인 기능 추가 실 계획 없나요 따릉이 정류 소가 많 아지 자전거 도로 활성화 좋겠
112,"['공무원', '어플', '부정', '사례']",공무원 어플 부정 사례
113,"['좋아요', '사랑', '로그인', '문', '힘들하', '던데', '로그인', '따릉이', '회원', '방법', '같아요', '상용', '화', '좋겠']",좋아요 사랑 로그인 문 힘들하 던데 로그인 따릉이 회원 방법 같아요 상용 화 좋겠
114,"['진짜', '편', '의성', '개구리', '한국', '형헬적', '화의', '표본', '중하']",진짜 편 의성 개구리 한국 형헬적 화의 표본 중하
115,"['처음', '한번', '타', '볼라', '카니', '결제', '부분', '자꾸', '인터넷', '안된다', '다시', '안되', '업데이트', '캐악툿']",처음 한번 타 볼라 카니 결제 부분 자꾸 인터넷 안된다 다시 안되 업데이트 캐악툿
116,"['파이', '버전', '로그인', '풀림']",파이 버전 로그인 풀림
117,"['사용', '있']",사용 있
118,"['지도', '문제', '오늘', '대여', '어플', '대여시간', '계속', '화면', '직하', '보이', '정작', '근처', '대여', '위치', '알', '아야', '반납', '지도', '표시', '안되', '검색', '따라서', '지도', '표시', '안되', '위치', '근처', '대여소', '파악', '안되', '대여시간', '계속', '지나', '감', '오류', '아닌', '가요']",지도 문제 오늘 대여 어플 대여시간 계속 화면 직하 보이 정작 근처 대여 위치 알 아야 반납 지도 표시 안되 검색 따라서 지도 표시 안되 위치 근처 대여소 파악 안되 대여시간 계속 지나 감 오류 아닌 가요
119,"['어플', '오류', '접속', '자동', '로그인', '안되', '것좀']",어플 오류 접속 자동 로그인 안되 것좀
120,"['자전거', '있으면', '자전거', '도로', '없는데']",자전거 있으면 자전거 도로 없는데
121,"['놈', '어플', '사', '용법', '복잡하게', '누', '선진국', '중국', '한참', '뒤']",놈 어플 사 용법 복잡하게 누 선진국 중국 한참 뒤
122,"['월', '정액', '자전거', '저희', '집앞', '항상', '배치', '밑', '가타', '당일', '환불', '수수료', '처럼', '쌩돈', '환불', '바로', '돈', '주', '주', '님들', '자전거', '배치', '안되', '어있으', '구', '매하', '쌩돈', '날림']",월 정액 자전거 저희 집앞 항상 배치 밑 가타 당일 환불 수수료 처럼 쌩돈 환불 바로 돈 주 주 님들 자전거 배치 안되 어있으 구 매하 쌩돈 날림
123,"['이따', '위로', '못만듭']",이따 위로 못만듭
124,"['어플', '구리', '로딩', '느려요', '1일권', '코드', '어디', '확', '인하', '지도', '결제', '안되', '뜸']",어플 구리 로딩 느려요 1일권 코드 어디 확 인하 지도 결제 안되 뜸
125,"['소셜', '로그인', '자동로그인', '안되', '불편']",소셜 로그인 자동로그인 안되 불편
126,"['탈때', '로그인', '네이버', '자동로그인', '안되', '결제', '카드', '정보', '입력', '개똥앱', '면', '따릉이', '반성', '셈']",탈때 로그인 네이버 자동로그인 안되 결제 카드 정보 입력 개똥앱 면 따릉이 반성 셈
127,"['어플', '결제', '안되', 'QR', '코드', '인식', '드럽게', '안되', '기본', '자전거', 'QR', '코드', '오지', '잡고', '있어야']",어플 결제 안되 QR 코드 인식 드럽게 안되 기본 자전거 QR 코드 오지 잡고 있어야
128,"['도저히', '사용', '없음']",도저히 사용 없음
