date,rate,reviews
2017년 7월,2.14,22
2017년 8월,2.69,13
2017년 9월,1.63,27
2017년 10월,1.91,35
2017년 11월,2.67,6
2017년 12월,2.75,4
2018년 1월,2.33,3
2018년 2월,2.00,2
2018년 3월,3.38,8
2018년 4월,1.38,40
2018년 5월,1.20,56
2018년 6월,1.23,412
2018년 7월,1.22,141
2018년 8월,1.41,46
2018년 9월,1.85,85
2018년 10월,1.35,113
2018년 11월,1.68,31
2018년 12월,1.59,22
2019년 1월,1.38,16
2019년 2월,1.62,39
2019년 3월,2.59,42
2019년 4월,1.76,50
2019년 5월,1.75,72
2019년 6월,1.52,75
2019년 7월,1.73,11
