content,complain
개편이후에 어플을 켜니 로딩만 무한 반복중이네요,따릉이를 사랑하는 서울시민입니다바구니를 사용하시는분이 50%미만인듯합니다전체 자전거 10~20%정도는 탈거해도 좋을듯합니다.안장높이가 너무낮아서 불편합니다 안장높은거 조금만 더 늘려주세요~ 간혹 높은것들이 있더라고요.암튼 넘 잘 사용중입니다
어떻게 이렇게 엉망인 앱을 만들 수 있는지 심히 놀랍다.,맵이 엉망이야요맵이 움지이지도 않아요자전거 거치대도 안보이구요
"업데이트한 이후로 지도에서 대여소가 아무리해도 안나와요.... 진짜 대여소를 알아야 대여를 하죠. 이거 만든 사람은 그정도 생각도 
못하나요?",IT 강국이라는 한국에서 그리고 대한민국 인구의 1/4이 사는 서울에서 이런 앱을 만들었다는게 정말 대단합니다.어쩌면 이렇게 고객의 사용편리성을 확실하게 만들 수 있었는지 심심한 경의를 표합니다.따릉이 운염팀에 계신 모든 분들 정말 장하십니다.앱개선에 대한 시민들 요청이 많은데 앱변경 안할거다 거다거나 아니면 언제까지 어떻게 개선할거다라고 답변을 하시던지 아니면 공지사항에 공지를 하시던지하셔야 되지 않나요?시민의견수렴은 의사결정 못하고 감히 보고 못하는 운영팀의 말단직원만 보고 의사결정이 가능한 저기 위에 계신 분은 아예 안보나요?
"업데이트 하고 나서 정류소 검색이랑 qr코드 검색도 안되고 지도에 물방울표시인지 뭔지 그것도 안떠서 자전거를 빌릴 방법이 없네요 제발 
오류좀...;;;",이거 어플 납품회사는 어떤놈들이여 대체..만들어놓으면 담당공무원은 사용테스트는 안해보고 점검도 안합니까? 사용해보니 좋아보여 이대로 방치하는겁니까? 앱관련 문의글도 잔뜩있는데 전부 대기중이구만..일들 안하는거요?결제말고는 되는기능이 없네 아예..정신들좀 차리시요 쩜..ㅉㅉ
업뎃이후로 켜면 로딩만계속되서 아예 쓰지를 못하는 쓰레기앱. 계속 이딴식으로 굴릴거면 정기권 끊던거 그만해도 될듯.,서울 촬영소 사거리 근방에도 대여소 설치했습 좋겠습니다. 꼭 부탁드립니다 ~^^
와...이제 티머니까지 없앴네? 티머니로 이용하던 사람들 닭쫓던 개신세 만드네?,고려대 인근 동대문구 제기동 거치대 설치 건의입니다.여러 사람들이 건의를 하는대도 상황은 하나도 개선되지를 않네요?설치할 곳이 없지 않습니다.안암사거리 기업은행 대각선 맞은편 제기동 성당 앞 공터안되면 방앗다리 공원에라도 설치해주세요.
"따릉이 초기부터 이용했습니다. 솔직히 앱 어데이트 전에는 결제하는 것도 오래 걸리고 따릉이 대여소 위치 보여주는 지도도 매번 랙 걸려서 
반납 위치 찾는게 어려웠는데 업데이트 된 후 앱도 빨라지고 사용하기 쉬워졌네요. 이제 후불 교통카드도 등록가능하고 정기권 가격도 
합리적으로 바뀌어서 마음에 듭니다. 잘쓰고 있습니다.",개편되면 더 편해져야지 이전보다 사용하기가 더 어려워 지면 어디 쓰겠어요?  전엔 지역을 선택하면  어디어디 대여소 워치가 보였는데 지금 그건 어디에 있는지도 모르겠고.  사용설명서라도 해주던가.  이거 환불가능한가요?
머지? 왜안되냐더운데.,거치대에 있는 모든 자전거가 연결반납으로 연결되어 있으면 어떨게 자전거를 빌리나요?
"자전거 빌리닌까 뒷타이어 바람나가있어서 타다가 넘어져서 무릎 피멍듬 하 이거 진단서 끊어서 신고해야하나 하다가 이거 관리하시는분들도 
힘들겠지 반납하고 다시렌탈 이번에 체인이 나가있음 제대로좀 자전거 관리해주세요",패달을 돌릴 때 마다 체인에서 지륵지륵 소리가 납니다.
"태어나서 리뷰 처음 씁니다. 그만큼 너무 화가 나서 씁니다. 업데이트 이후로 최악이 되버린 따릉이. 속도 느려 지도 검색도 안돼.. 
어플로 거치소 찾다 찾다 못찾아 결국 지나가는 사람한테 물아봤습니다. 최악의 업뎃. 이전으로 돌려 놓길 간절히 바랍니다",반납을 하고 문자가안와서 고장신고도했습니다 시간도 준수했는데 아직까지 반납이 안됐다고하네요
"앱 리뷰 처음씁니다. 업데이트이후 자전거를 빌릴 수가 없어요. 두 달 동안 잘 썼는데.... 무슨 이런 업데이트가 있나.... 별 
1개도 아까워요... 다시 도로 돌려놓아요",어?
메인 화면 이동할 때마다 GPS 위치설정하라는 창 뜹니다. 매번 닫음 누르는데 번거로워요. 설정같은데서 끄게 할 수는 없나요,앱 개판친 것 좀 원래대로 좀
앱 업데이트 되고 대여를 못하고있습니다 이에 10일간 연장해주세요,120번 전화문의 해보니 티머니 아니면...신용카드(교통카드기능포함) 두가지만 된다고하는데....케시비를 주로 사용하는데 왜 등록이 안되는걸까요??사용할수있게 해주세요..캐시비라서 환승포인트도 못받겠군요 ㅠㅠ
이거 쓰라고 만들어 놓은거 아니죠? 하마터면 오해할뻔 했네요. 놀라울 정도로 쓸 수가 없어요.,도봉산역 광역환승센터는 역과 거리가 멀어 불편합니다.창포원 공원쪽이 이용수요도 있고 역과 가까우니 설치 건의합니다
최악의 앱. 이걸 돈 주고 서울시가 개발한 건가,제가 쓰는 모든 앱 통틀어 가장 불편하고 관리안되네요
"진짜 업데이트하고 개구려짐 최악. 지도는 왜 있는거임. 실시간 현황도 안뜨는데. 정류장즐겨찾기는 어떻게하는거죠? 앱은 무용지물 정류장 
가기전까지 자전거 몇대있는지 확인 불가능",빌리는데 20분씩 걸려요...시스템이 안정되지 않은건가요?.물방울이 안뜨는데 저번처럼 쉽게 빌리게 해주세요.... 빌리려다가 지치네요
"대문부터 데이터 잡아먹는 지도를 걸어놔서 데이터 낭비가 극심합니다. 돈 아끼겠다고 따릉이를 타고 다니는데 데이터 값이 더 나가게 
생겼슴다.",알림톡 서비스로 편리함을 누리고 있습니다!다만 안내사항 중 ‘대여가 안되요’ 부분에 맞춤법 오류가 시정되었으면 해서 건의합니다. ‘안돼요’로 수정해주세요..
서울시 공무원들은 이 앱을 실제 사용해보기는 하나요? 사용해봤는데 이대로 놔두는거면 일안하는건데?,수색역은 교통오지오 자전거대여소가 있으면 좋겠습니다~
"저는 이전 버전 앱 사용하면서 이미 네이버로 회원가입된 상태인데 이번에 업뎃하면서 앱 삭제하고 다시 깔았습니다. 근데 네이버로그인을 
누르면 회원가입 절차로 넘어가요. 다시 절차 다 밟고 카카오로 로그인할랬더니 아무리해도 로그인이 안 되구요. 꼭 해결해주세요;;",근처 신세계백화점 앞에 있긴한데 너무 멀리있습니다명동역에 대여소 설치고려좀 해주세요
지도에 물방울 표시도 안 나오고 지도 줌 하는 순간 먹통입니다. 모바일 들어가니 바로 되더군요. 할 말이 없습니다...,일일권 1시간 을 30분만 사용하고 반납한경우나머지 30분 추가로 사용 대여 가능한가요아니면 환불해주나요
"업데이트 하면서 최적화는 안되고 더 빌리기 어려워지면 뭐하자는건지...지도로 빌리기는 안된다고 보는게 속편하고 그나마 QR로 해야되고 
원하는 장소 주변 대여소 위치 파악도 불가","신답 사거리쪽에 대여소가 있으나 항상 자전거가 부족하고 동대문구청 방향으로 이용하고 싶을 때는 거리가 애매합니다. 신답 극동 아파트와, 청계한신휴플러스 이렇게 이미 2개의 아파트 단지가 있고 추가로 힐스테이트 청계아파트 입주가 곧 시작되어 수요가 많을것으로 생각 됩니다. 이에 대여소 설치를 요청드립니다."
QA안하고 릴리즈합니까?ㅋ 이게 배포될 업데이트입니까 오류만 하루종일나는디,난향동 2127 대여소에 거릐 항상 자전거가 비어있음. 2127대여소를 확충해주시든가 근처에 신설해주시든가 하세요.
"깔자마자 리뷰하긴 첨이네요. 정말 최악의 앱을 만드셨군요! 네이버 로긴 해두고 앱 다시 켜면 인증에러! 에러 팝언 뜨면 로긴화면 여기서 
로긴안하려고 x버튼 누르면 또 인증에러 팝업! 무한 반복~~ 요요~~ OAuth처리 문제요? 그리고 로긴하려고 아디비번 넣어도 이젠 
로긴에러 와 쩌네~ 깔자마자 문제있음 새로깔라고? 팝업뜨더니.. 새로깔은 나도 이러는데, 전에 쓰던사람은 오죽할까?? 개발자들 단가좀 
잘처주고 일좀시켜~ 회사 사장은 돈아낀다 싼마이 개발자만 쓰지말고~ 이거 따릉이 회사서 만든건지 하청준건지 모르것지만, 개발자들 허접이 
쓰지말고 투자좀 하자좀!!",난향동 일대 인구밀도가 높은데 대여소가 하나 뿐이라 거치된 자전거 없을 때가 잦아요. 주변에 10대 쯤 거치하는 대여소 두 군데는 더 신설해야겠어요. 조속히 실행해주세요.
