date,rate_avg,reviews,total_counts
2018년 1월,2.33,3," 169,261 "
2018년 2월,2.00,2," 164,508 "
2018년 3월,3.38,8," 436,971 "
2018년 4월,1.48,40," 633,304 "
2018년 5월,1.25,59," 924,086 "
2018년 6월,1.22,415," 1,207,134 "
2018년 7월,1.22,147," 1,099,953 "
2018년 8월,1.44,48," 991,348 "
2018년 9월,1.89,88," 1,392,038 "
2018년 10월,1.35,115," 1,322,104 "
2018년 11월,1.60,35," 932,876 "
2018년 12월,2.22,9," 490,331 "
